cancer	standard_drug_name	hpo_term	go_term	2019_None
breast_cancer	METHOTREXATE	HP:0001000	GO:0005515	719383000.0
breast_cancer	METHOTREXATE	HP:0011003	GO:0005515	187362000.0
breast_cancer	METHOTREXATE	HP:0011800	GO:0042802	314629000.0
breast_cancer	METHOTREXATE	HP:0011800	GO:0005515	9497730000.0
breast_cancer	METHOTREXATE	HP:0011800	GO:0005634	1493250000.0
breast_cancer	METHOTREXATE	HP:0011800	GO:0005654	792966000.0
breast_cancer	METHOTREXATE	HP:0011800	GO:0005737	712516000.0
breast_cancer	METHOTREXATE	HP:0011800	GO:0005886	340567000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0000122	1296970000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0016020	379240000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0019899	3016500000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0003677	448758000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0042802	8831510000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0042803	2027200000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0044212	248142000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0045944	3347910000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0005515	214360000000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0005634	37091600000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0005654	19785000000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0005737	19580000000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0005794	1797010000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0005886	9068430000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0005887	367188000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0060271	237396000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0006468	277046000.0
breast_cancer	METHOTREXATE	HP:0001250	GO:0009986	385004000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0000122	224328000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0019899	534605000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0042802	1704920000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0042803	427066000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0045944	606777000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0005515	45948300000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0005634	6900550000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0005654	3710110000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0005737	3916450000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0005794	361818000.0
breast_cancer	METHOTREXATE	HP:0001251	GO:0005886	1846080000.0
breast_cancer	METHOTREXATE	HP:0001268	GO:0005515	604965000.0
breast_cancer	METHOTREXATE	HP:0001272	GO:0042802	277464000.0
breast_cancer	METHOTREXATE	HP:0001272	GO:0005515	6946490000.0
breast_cancer	METHOTREXATE	HP:0001272	GO:0005634	1117510000.0
breast_cancer	METHOTREXATE	HP:0001272	GO:0005654	590669000.0
breast_cancer	METHOTREXATE	HP:0001272	GO:0005737	639849000.0
breast_cancer	METHOTREXATE	HP:0001272	GO:0005886	301088000.0
breast_cancer	METHOTREXATE	HP:0001595	GO:0005515	187531000.0
breast_cancer	METHOTREXATE	HP:0001643	GO:0042802	458763000.0
breast_cancer	METHOTREXATE	HP:0001643	GO:0045944	243920000.0
breast_cancer	METHOTREXATE	HP:0001643	GO:0005515	13872000000.0
breast_cancer	METHOTREXATE	HP:0001643	GO:0005634	2295090000.0
breast_cancer	METHOTREXATE	HP:0001643	GO:0005654	1224780000.0
breast_cancer	METHOTREXATE	HP:0001643	GO:0005737	1084390000.0
breast_cancer	METHOTREXATE	HP:0001643	GO:0005886	488894000.0
breast_cancer	METHOTREXATE	HP:0001945	GO:0042802	233857000.0
breast_cancer	METHOTREXATE	HP:0001945	GO:0005515	3941800000.0
breast_cancer	METHOTREXATE	HP:0001945	GO:0005634	848778000.0
breast_cancer	METHOTREXATE	HP:0001945	GO:0005654	441938000.0
breast_cancer	METHOTREXATE	HP:0001945	GO:0005737	474354000.0
breast_cancer	METHOTREXATE	HP:0001945	GO:0005886	220221000.0
breast_cancer	METHOTREXATE	HP:0002021	GO:0005515	2518900000.0
breast_cancer	METHOTREXATE	HP:0002021	GO:0005634	403361000.0
breast_cancer	METHOTREXATE	HP:0002021	GO:0005654	216402000.0
breast_cancer	METHOTREXATE	HP:0002021	GO:0005737	201690000.0
breast_cancer	METHOTREXATE	HP:0002027	GO:0042802	231135000.0
breast_cancer	METHOTREXATE	HP:0002027	GO:0005515	4601450000.0
breast_cancer	METHOTREXATE	HP:0002027	GO:0005634	830909000.0
breast_cancer	METHOTREXATE	HP:0002027	GO:0005654	433500000.0
breast_cancer	METHOTREXATE	HP:0002027	GO:0005737	470845000.0
breast_cancer	METHOTREXATE	HP:0002027	GO:0005886	221204000.0
breast_cancer	METHOTREXATE	HP:0002059	GO:0042802	215193000.0
breast_cancer	METHOTREXATE	HP:0002059	GO:0005515	6131780000.0
breast_cancer	METHOTREXATE	HP:0002059	GO:0005634	925321000.0
breast_cancer	METHOTREXATE	HP:0002059	GO:0005654	495344000.0
breast_cancer	METHOTREXATE	HP:0002059	GO:0005737	503203000.0
breast_cancer	METHOTREXATE	HP:0002059	GO:0005886	240529000.0
breast_cancer	METHOTREXATE	HP:0002085	GO:0005515	214298000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0000122	167907000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0019899	267087000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0042802	926809000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0042803	229088000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0045944	412621000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0005515	28165400000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0005634	4390610000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0005654	2366380000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0005737	2192440000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0005794	217958000.0
breast_cancer	METHOTREXATE	HP:0002119	GO:0005886	1004540000.0
breast_cancer	METHOTREXATE	HP:0002126	GO:0005515	4233410000.0
breast_cancer	METHOTREXATE	HP:0002126	GO:0005634	581719000.0
breast_cancer	METHOTREXATE	HP:0002126	GO:0005654	310077000.0
breast_cancer	METHOTREXATE	HP:0002126	GO:0005737	297892000.0
breast_cancer	METHOTREXATE	HP:0000238	GO:0019899	174023000.0
breast_cancer	METHOTREXATE	HP:0000238	GO:0042802	653206000.0
breast_cancer	METHOTREXATE	HP:0000238	GO:0042803	162939000.0
breast_cancer	METHOTREXATE	HP:0000238	GO:0045944	320590000.0
breast_cancer	METHOTREXATE	HP:0000238	GO:0005515	22181800000.0
breast_cancer	METHOTREXATE	HP:0000238	GO:0005634	3266570000.0
breast_cancer	METHOTREXATE	HP:0000238	GO:0005654	1715570000.0
breast_cancer	METHOTREXATE	HP:0000238	GO:0005737	1562630000.0
